name;year
ProdigeAuvergne;x
Mipygeo;x
Theia;x
GeoBourgogne;x
GeoMayenne;x
Geocatalogue;x
Cartomer;x
OCA;x
PNRNormandieMaine;x
RegionBretagne;x
Cartorisque;x
CUCM;x
ProdigePicardie;x
SINP;x
Geo-IDE;x
GeoGuyane;x
PNRCotentin;x
Geoplateforme17;x
Crigeos;2015
Atlasante;x
SIGPyrenees;2015
KARUGEO;2017
UnivTours;2015
ATD24;x
ONML;x
Data.gouv.fr;x
CG67;x
CG68;x
GeoRhoneAlpes;x
SIGLOIRE;x
PRODIGE971;2017
CG50;x
BordeauxMetropole;x
CG972;x
INAO;x
GeoCentre;x
PPIGE;x
CEBA;x
CG02;x
GeoLimousin;x
GeoSud;x
NOREADE;x
GestionCriseSE;x
PaysDeBrest;x
Sextant;x
GeoAnjou;x
SIGLR;x
MSH_Dijon;x
GeoBretagne;x
SIGOGNE;x
DREAL_Centre;2015
EauFrance;x
GeoManche;x
CG37;2015
GeoNormandie;x
GeoMartinique;x
Igecom40;x
LyonMetropole;x
PEIGEO;x
GEOPAL;x
AirBreizh;x
GrandDijon;x
PEGASE;x
PIGMA;x
CG59;x
INDIGEO;x
OpenIG;2017
ROLNP;x
GeoPicardie;x
SIGALE;x
GeoServiceCalvados;x
CRAIG;x
GIP_Bretagne_Environnement;x
GIP_PNFCB;x
GeoSAS;x
CIGAL;x
OEM;x
DataSHOM;x
ClermontCommunaut_;x
LorientAgglomeration;x
GeoVendee;x
CRIGE-PACA;x
